replicateid,zone,population,access,beta,eir,pfpr2to10
16223,1,4973,0.633,0.029,0.981036666666667,5.7358475
16211,1,4973,0.633,0.027,0.8263735,5.98024916666667
15911,1,4973,0.633,0.04,1.79074916666667,7.4590675
15899,1,4973,0.633,0.03,1.08181,8.11024083333333
14325,1,4973,0.633,0.05,2.108595,9.74201583333333
15912,1,4973,0.633,0.06,3.31701916666667,11.8527525
15891,1,4973,0.633,0.07,4.09121416666667,15.2392575
15897,1,4973,0.633,0.08,4.3875825,15.7242775
15892,1,4973,0.633,0.09,5.55672583333333,19.5495166666667
14327,1,4973,0.633,0.10,6.86040333333333,21.2829416666667
14328,1,4973,0.633,0.15,9.8165875,23.038175
14334,1,4973,0.633,0.20,14.0134833333333,30.0617833333333
14333,1,4973,0.633,0.25,16.4929666666667,33.5417
14338,1,4973,0.633,0.35,26.7331333333333,39.42685
14335,1,4973,0.633,0.30,28.3442916666667,43.0597083333333
14346,1,4973,0.633,0.40,32.42305,43.7784583333333
14363,1,4973,0.633,0.50,46.9104833333333,48.6569333333333
14357,1,4973,0.633,0.45,42.342675,49.8941333333333
14364,1,4973,0.633,0.55,58.2499166666667,51.5271416666667
14365,1,4973,0.633,0.60,55.4794333333333,51.5861416666667
14339,1,4973,0.633,0.65,59.5027,52.689775
14340,1,4973,0.633,0.70,64.85005,53.2666833333333
14341,1,4973,0.633,0.75,84.304725,59.1675083333333
14347,1,4973,0.633,0.95,89.8090416666667,60.2301083333333
14345,1,4973,0.633,0.85,83.6869083333333,61.2920166666667
14342,1,4973,0.633,0.80,87.6126916666667,61.4423333333333
14351,1,4973,0.633,1.00,106.467583333333,61.6167166666667
14358,1,4973,0.633,1.05,110.1615,61.79775
14344,1,4973,0.633,0.90,94.2425416666667,62.618125
14373,1,4973,0.633,1.10,113.16275,62.7031
14378,1,4973,0.633,1.15,143.391333333333,63.52275
14352,1,4973,0.633,1.30,155.450666666667,63.6253083333333
14379,1,4973,0.633,1.20,130.9395,64.0462833333333
14355,1,4973,0.633,1.40,172.99425,65.13425
14353,1,4973,0.633,1.35,182.332666666667,66.8667
14380,1,4973,0.633,1.25,127.406583333333,67.6101833333333
14354,1,4973,0.633,1.45,181.661666666667,67.8231833333333
14361,1,4973,0.633,1.55,192.4555,67.903775
14366,1,4973,0.633,1.70,187.73725,67.90975
14362,1,4973,0.633,1.60,185.946083333333,68.2136166666667
14356,1,4973,0.633,1.50,184.445,69.6102166666667
14359,1,4973,0.633,1.65,178.393916666667,69.6887333333333
14367,1,4973,0.633,1.75,223.391916666667,71.8320333333333
14360,1,4973,0.634,0.00,0.0,0.0
16242,1,4973,0.634,0.012,0.0,0.0
16241,1,4973,0.634,0.011,0.0,0.0
15896,1,4973,0.634,0.01,0.0,0.0
16233,1,4973,0.634,0.016,0.0,0.0
16229,1,4973,0.634,0.01,0.0,0.0
16227,1,4973,0.634,0.018,0.0931716083333333,0.0
16216,1,4973,0.634,0.013,0.0,0.0
16219,1,4973,0.634,0.015,0.0,0.0
16220,1,4973,0.634,0.014,0.0,0.0
16234,1,4973,0.634,0.017,0.223356166666667,0.670934416666667
16226,1,4973,0.634,0.024,0.63003225,1.77306633333333
15900,1,4973,0.634,0.02,0.339269,2.33495716666667
16253,1,4973,0.634,0.022,0.491300666666667,2.82852841666667
16245,1,4973,0.634,0.021,0.295839916666667,2.92677166666667
16238,1,4973,0.634,0.019,0.5624295,3.00533666666667
16254,1,4973,0.634,0.023,0.59891425,3.1407725
16228,1,4973,0.634,0.026,0.651685583333333,3.44121133333333
16236,1,4973,0.634,0.027,0.852530083333333,5.19262166666667
16235,1,4973,0.634,0.032,1.14518083333333,5.5515425
16237,1,4973,0.634,0.028,0.980454,5.76829166666667
16230,1,4973,0.634,0.029,1.04087966666667,6.05539333333333
16251,1,4973,0.634,0.034,1.32330833333333,6.38948416666667
16243,1,4973,0.634,0.037,1.635665,6.54704666666667
16231,1,4973,0.634,0.025,0.699266916666667,6.6462575
16232,1,4973,0.634,0.031,1.12395833333333,6.86211583333333
16240,1,4973,0.634,0.036,1.29725583333333,7.47243916666667
16250,1,4973,0.634,0.033,1.40502083333333,7.569175
16248,1,4973,0.634,0.038,1.45038583333333,8.06910666666667
16247,1,4973,0.634,0.039,1.4485825,8.07266416666667
16239,1,4973,0.634,0.035,1.536145,8.18448166666666
16256,1,4973,0.634,0.042,1.91740166666667,8.53039583333334
15916,1,4973,0.634,0.04,1.56856166666667,8.89306666666667
15914,1,4973,0.634,0.03,1.21366833333333,8.898175
16246,1,4973,0.634,0.044,1.9410175,9.39485666666667
15903,1,4973,0.634,0.06,3.1981175,10.2208933333333
16252,1,4973,0.634,0.045,2.17020916666667,10.2351666666667
16244,1,4973,0.634,0.043,2.0377625,10.5806583333333
16259,1,4973,0.634,0.046,2.52575666666667,10.6529866666667
16249,1,4973,0.634,0.048,2.81955166666667,10.7195116666667
16255,1,4973,0.634,0.041,2.24563166666667,11.1824541666667
14368,1,4973,0.634,0.05,2.39045083333333,11.2758133333333
16258,1,4973,0.634,0.047,2.27698166666667,11.4062866666667
16260,1,4973,0.634,0.049,2.06721833333333,11.8262141666667
15902,1,4973,0.634,0.07,3.8519125,13.80119
15898,1,4973,0.634,0.08,4.59856083333333,15.1604616666667
15906,1,4973,0.634,0.09,4.38409166666667,17.6907916666667
14377,1,4973,0.634,0.10,6.55690083333333,19.8581475
15908,1,4973,0.634,0.11,6.80157916666667,21.27188
15907,1,4973,0.634,0.12,7.18616916666667,21.6640416666667
15901,1,4973,0.634,0.13,8.59932166666667,24.1357416666667
15905,1,4973,0.634,0.14,9.27639166666667,25.5991666666667
14390,1,4973,0.634,0.15,11.4075833333333,27.2656
14398,1,4973,0.634,0.20,15.5849833333333,33.066625
14399,1,4973,0.634,0.30,23.013925,36.9623083333333
14370,1,4973,0.634,0.40,32.8648666666667,38.0644083333333
14400,1,4973,0.634,0.25,21.494425,38.6365166666667
14369,1,4973,0.634,0.35,26.44205,41.6082166666667
14372,1,4973,0.634,0.50,44.7754416666667,46.7491083333333
14374,1,4973,0.634,0.55,51.2568833333333,49.2540666666667
14371,1,4973,0.634,0.45,39.8308,50.2693333333333
14375,1,4973,0.634,0.60,53.3856916666667,50.37305
14376,1,4973,0.634,0.65,62.9616916666667,54.6771833333333
14407,1,4973,0.634,0.85,80.8108416666667,55.885225
14381,1,4973,0.634,0.70,70.99805,56.1787833333333
14404,1,4973,0.634,0.80,84.7597833333333,57.4449583333333
14387,1,4973,0.634,0.75,74.6574166666667,58.0594833333333
14409,1,4973,0.634,0.95,95.113125,59.0962
14391,1,4973,0.634,1.15,114.277416666667,60.776975
14382,1,4973,0.634,1.05,115.99825,61.3712666666667
14383,1,4973,0.634,1.00,102.227666666667,62.0142666666667
14408,1,4973,0.634,0.90,94.5171916666666,62.0563083333333
14384,1,4973,0.634,1.10,130.24425,64.0285083333333
14392,1,4973,0.634,1.20,125.657333333333,64.1723833333333
14385,1,4973,0.634,1.25,137.7045,64.4834666666667
14394,1,4973,0.634,1.50,156.612333333333,65.57775
14393,1,4973,0.634,1.45,180.203,66.1599833333333
14386,1,4973,0.634,1.30,144.218333333333,66.8387083333333
14389,1,4973,0.634,1.35,156.513833333333,67.175
14388,1,4973,0.634,1.40,156.99725,67.4379583333333
14396,1,4973,0.634,1.55,176.62425,68.9766166666667
14395,1,4973,0.634,1.60,180.073333333333,69.0149
14397,1,4973,0.634,1.65,200.22875,69.3353166666667
14406,1,4973,0.634,1.75,196.36,69.7564333333333
14401,1,4973,0.634,1.70,198.11625,69.91455
14418,1,4973,0.718,0.00,0.0,0.0
14426,1,4973,0.718,0.05,2.57722,8.6320975
14427,1,4973,0.718,0.10,6.76301333333333,21.5734083333333
14428,1,4973,0.718,0.15,10.6904608333333,26.573675
14402,1,4973,0.718,0.25,20.1651,32.6782083333333
14403,1,4973,0.718,0.20,15.2465083333333,32.87605
14405,1,4973,0.718,0.30,20.9573083333333,38.072575
14410,1,4973,0.718,0.35,27.5863583333333,41.6909
14413,1,4973,0.718,0.40,35.197675,44.2094166666667
14414,1,4973,0.718,0.45,35.156125,44.2554083333333
14415,1,4973,0.718,0.55,47.584,48.2352583333333
14411,1,4973,0.718,0.50,43.504925,48.5026416666667
14424,1,4973,0.718,0.60,49.9544166666667,48.8671833333333
14425,1,4973,0.718,0.65,61.2922333333333,51.9705583333333
14412,1,4973,0.718,0.70,66.2633583333333,54.5466416666667
14429,1,4973,0.718,0.80,72.2632,54.5573666666667
14417,1,4973,0.718,0.75,70.561775,54.8678666666667
14416,1,4973,0.718,0.90,90.355775,57.49775
14437,1,4973,0.718,1.05,91.7526916666667,57.6669583333333
14430,1,4973,0.718,0.85,90.9588333333333,57.886325
14423,1,4973,0.718,0.95,96.7165833333333,60.0293166666667
14419,1,4973,0.718,1.10,108.275916666667,60.1768833333333
14431,1,4973,0.718,1.15,115.383333333333,60.3203333333333
14439,1,4973,0.718,1.25,143.16525,60.7182333333333
14436,1,4973,0.718,1.00,93.3548666666667,60.8647083333333
14438,1,4973,0.718,1.20,132.683833333333,61.98525
14421,1,4973,0.718,1.30,145.41375,64.2824
14449,1,4973,0.718,1.60,177.646916666667,65.23555
14443,1,4973,0.718,1.40,147.703333333333,65.5992083333333
14435,1,4973,0.718,1.35,139.099916666667,65.6294583333333
14444,1,4973,0.718,1.45,167.161833333333,66.0704
14420,1,4973,0.718,1.70,200.007916666667,66.5086583333333
14441,1,4973,0.718,1.55,180.7035,66.6374916666667
14450,1,4973,0.718,1.65,194.721416666667,67.7809166666667
14422,1,4973,0.718,1.75,207.825916666667,69.0287583333333
14433,1,4973,0.718,1.50,160.171833333333,69.1459666666667
14440,1,10818,0.533,0.00,0.0,0.0
15904,1,10818,0.533,0.01,0.0,0.0
15919,1,10818,0.533,0.02,0.470586833333333,4.3297525
15918,1,10818,0.533,0.03,1.16179108333333,6.93480666666667
15909,1,10818,0.533,0.04,1.68705583333333,8.056175
14448,1,10818,0.533,0.05,2.68224416666667,11.5460808333333
15910,1,10818,0.533,0.06,3.25795583333333,15.1131683333333
15920,1,10818,0.533,0.07,3.9898675,16.376225
15922,1,10818,0.533,0.09,5.36069,19.2527583333333
15921,1,10818,0.533,0.08,4.66017166666667,19.61515
14458,1,10818,0.533,0.10,6.49671583333333,20.8892
14459,1,10818,0.533,0.15,10.470525,25.0411666666667
14432,1,10818,0.533,0.20,13.9399083333333,30.9482416666667
14434,1,10818,0.533,0.25,20.7383083333333,38.0253416666667
14457,1,10818,0.533,0.35,30.909775,41.322925
14445,1,10818,0.533,0.30,27.3604333333333,41.6925333333333
14462,1,10818,0.533,0.40,34.795175,44.5456333333333
14447,1,10818,0.533,0.50,41.275925,45.5838416666667
14463,1,10818,0.533,0.45,40.7851833333333,48.7506416666667
14446,1,10818,0.533,0.55,49.3957666666667,50.4866416666667
14442,1,10818,0.533,0.60,49.9483416666667,52.1971666666667
14460,1,10818,0.533,0.65,59.12045,54.287175
14466,1,10818,0.533,0.70,67.7488083333333,56.7135333333333
14467,1,10818,0.533,0.75,71.3370083333333,57.3592166666667
14451,1,10818,0.533,0.80,76.7809583333333,58.9062416666667
14456,1,10818,0.533,1.00,100.218758333333,59.9220333333333
