Study,Three Years,,,,,Five Years,,,,,Ten Years,,,,,
,Clinical Cases,Treatments,Treatment Failures,Treatment Failures,561H Frequency,Clinical Cases,Treatments,Treatment Failures,Treatment Failures,561H Frequency,Clinical Cases,Treatments,Treatment Failures,Treatment Failures,561H Frequency,
rwa-mft-asaq-dhappq-0.25,179792 (178284 - 181431),112930 (112044 - 113968),9433 (8203 - 10227),8.29 (7.37 - 8.99),0.55 (0.42 - 0.63),191940 (189398 - 193332),120648 (119077 - 121466),11940 (10326 - 12846),9.88 (8.70 - 10.58),0.67 (0.55 - 0.75),222616 (221129 - 223547),140012 (138972 - 140611),23022 (21659 - 23948),16.48 (15.63 - 17.10),0.92 (0.85 - 0.94),
rwa-mft-asaq-dhappq-0.75,174358 (172291 - 175859),109526 (108210 - 110606),10675 (9334 - 11340),9.74 (8.64 - 10.20),0.62 (0.49 - 0.67),211272 (208396 - 213995),132947 (131240 - 134827),32279 (29575 - 34328),24.27 (22.51 - 25.44),0.84 (0.76 - 0.87),236469 (235971 - 237194),148757 (148338 - 149116),66510 (66279 - 66712),44.69 (44.60 - 44.78),1.00 (0.99 - 1.00),
rwa-mft-asaq-dhappq,175765 (174659 - 177113),110492 (109686 - 111273),9044 (8080 - 9684),8.21 (7.36 - 8.75),0.56 (0.46 - 0.64),193637 (191700 - 195319),121725 (120477 - 122840),15583 (14050 - 16732),12.81 (11.57 - 13.63),0.73 (0.62 - 0.79),235877 (235143 - 236682),148306 (147832 - 148871),47543 (46870 - 48235),32.08 (31.59 - 32.62),0.98 (0.97 - 0.99),
rwa-pfpr-constant,195567 (193157 - 197417),122888 (121427 - 124080),17842 (15422 - 19472),14.49 (12.67 - 15.67),0.66 (0.54 - 0.72),207828 (205651 - 209850),130794 (129428 - 132046),23465 (20867 - 26480),18.01 (16.07 - 20.10),0.82 (0.73 - 0.86),235337 (233781 - 237400),147900 (147095 - 149314),39358 (36212 - 42389),26.61 (24.63 - 28.53),0.98 (0.97 - 0.99),
rwa-replacement-asaq,185420 (183738 - 186767),116674 (115493 - 117336),11040 (9966 - 11996),9.49 (8.56 - 10.20),0.58 (0.43 - 0.65),196848 (194828 - 197972),123692 (122494 - 124399),14104 (12516 - 14708),11.42 (10.21 - 11.83),0.70 (0.58 - 0.77),226310 (224793 - 227328),142319 (141306 - 143065),24864 (23756 - 25752),17.50 (16.79 - 18.01),0.93 (0.89 - 0.95),
rwa-replacement-dhappq,176990 (174265 - 179710),111315 (109603 - 113161),14832 (13211 - 16880),13.36 (12.03 - 14.87),0.63 (0.55 - 0.70),235934 (232584 - 237473),148521 (146357 - 149432),60755 (57057 - 63959),40.94 (38.86 - 42.70),0.90 (0.87 - 0.93),238375 (237405 - 239062),149906 (149295 - 150344),83254 (82846 - 83438),55.55 (55.43 - 55.61),1.00 (1.00 - 1.00),
rwa-rotation-al-3,177961 (174670 - 181121),111931 (109853 - 113870),16086 (13690 - 17858),14.32 (12.49 - 15.65),0.68 (0.57 - 0.75),204159 (202909 - 205467),128340 (127496 - 129127),16433 (15060 - 17313),12.81 (11.83 - 13.50),0.78 (0.68 - 0.83),222995 (221410 - 223701),140125 (139295 - 140705),21213 (20447 - 21848),15.10 (14.68 - 15.54),0.95 (0.91 - 0.96),
rwa-rotation-al-5,176282 (173082 - 178565),110837 (108831 - 112267),14457 (12256 - 16062),13.01 (11.34 - 14.33),0.61 (0.51 - 0.66),198256 (197234 - 199320),124460 (123905 - 125116),11790 (10965 - 12574),9.51 (8.83 - 10.14),0.71 (0.61 - 0.76),219364 (217783 - 220165),137879 (136992 - 138523),15752 (15168 - 16306),11.54 (11.06 - 11.81),0.90 (0.85 - 0.92),
rwa-seq-al-asaq-pause,175593 (173619 - 177336),110358 (109032 - 111452),1916 (1604 - 2157),1.73 (1.47 - 1.96),0.48 (0.36 - 0.59),186793 (184181 - 188870),117354 (115675 - 118598),2258 (1871 - 2570),1.92 (1.61 - 2.16),0.57 (0.44 - 0.68),210147 (207283 - 212107),131866 (130281 - 133293),3172 (2685 - 3570),2.41 (2.06 - 2.68),0.77 (0.67 - 0.85),
rwa-seq-al-asaq,174157 (172643 - 175347),109272 (108403 - 110054),1900 (1679 - 2098),1.73 (1.54 - 1.91),0.47 (0.36 - 0.56),184072 (182816 - 185635),115591 (114738 - 116562),2178 (1934 - 2370),1.88 (1.68 - 2.04),0.54 (0.42 - 0.63),205318 (203686 - 206418),128968 (127970 - 129679),2873 (2536 - 3082),2.21 (1.99 - 2.39),0.70 (0.58 - 0.77),
rwa-seq-al-dhappq-pause,156520 (154935 - 158445),98203 (97220 - 99430),1362 (1218 - 1523),1.37 (1.26 - 1.53),0.50 (0.42 - 0.59),171192 (168774 - 172833),107448 (105941 - 108449),2406 (2142 - 2815),2.25 (2.00 - 2.58),0.59 (0.51 - 0.68),199681 (197035 - 201246),125467 (123760 - 126380),10126 (8874 - 11298),8.09 (7.17 - 8.93),0.85 (0.79 - 0.91),
rwa-seq-al-dhappq,154329 (153348 - 155688),96875 (96254 - 97598),1303 (1130 - 1458),1.34 (1.16 - 1.49),0.47 (0.36 - 0.56),168356 (167307 - 170143),105618 (105036 - 106763),2426 (2037 - 2744),2.29 (1.93 - 2.58),0.55 (0.44 - 0.65),198058 (196134 - 200196),124550 (123178 - 125766),10318 (8987 - 11878),8.33 (7.28 - 9.51),0.81 (0.74 - 0.87),
rwa-seq-asaq-al-pause,178142 (176685 - 179166),111868 (110901 - 112500),1988 (1758 - 2192),1.78 (1.58 - 1.95),0.49 (0.38 - 0.59),189158 (187535 - 190038),118774 (117706 - 119351),2285 (2023 - 2484),1.93 (1.71 - 2.10),0.57 (0.46 - 0.65),211191 (209531 - 213072),132736 (131567 - 133809),3019 (2697 - 3169),2.26 (2.05 - 2.37),0.75 (0.66 - 0.81),
rwa-seq-asaq-al,175714 (174241 - 176953),110336 (109356 - 111119),1847 (1600 - 2029),1.67 (1.45 - 1.84),0.44 (0.33 - 0.53),185976 (185026 - 187284),116820 (116117 - 117606),2098 (1793 - 2312),1.80 (1.54 - 1.97),0.50 (0.38 - 0.59),207202 (205426 - 208312),130081 (129035 - 130790),2718 (2372 - 2913),2.09 (1.83 - 2.24),0.66 (0.54 - 0.74),
rwa-seq-dhappq-al-pause,161101 (159776 - 162677),101097 (100281 - 102196),1694 (1490 - 1958),1.67 (1.48 - 1.93),0.49 (0.39 - 0.59),184429 (181645 - 187950),115884 (114172 - 118151),4335 (3848 - 5109),3.73 (3.38 - 4.30),0.63 (0.54 - 0.72),236767 (236076 - 237970),148876 (148486 - 149705),16888 (15875 - 17619),11.34 (10.70 - 11.77),0.97 (0.95 - 0.98),
rwa-seq-dhappq-al,158030 (156804 - 159373),99047 (98483 - 100018),1472 (1184 - 1602),1.48 (1.20 - 1.60),0.47 (0.32 - 0.57),175883 (172901 - 177015),110419 (108554 - 111263),3280 (2541 - 3754),2.95 (2.35 - 3.37),0.58 (0.42 - 0.67),219975 (218372 - 221378),138330 (137375 - 139208),15341 (13382 - 16436),11.07 (9.77 - 11.84),0.92 (0.84 - 0.94),
rwa-tact-alaq,169251 (167990 - 170332),106170 (105506 - 106906),1944 (1744 - 2226),1.83 (1.64 - 2.09),0.40 (0.30 - 0.53),180010 (179168 - 180791),113023 (112410 - 113514),2143 (1898 - 2462),1.90 (1.68 - 2.17),0.43 (0.34 - 0.57),198816 (197992 - 199864),124788 (124268 - 125453),2572 (2300 - 2908),2.06 (1.84 - 2.33),0.52 (0.41 - 0.66),
rwa-tact-dhappqmq,146378 (145873 - 147222),91844 (91432 - 92314),644 (478 - 829),0.70 (0.52 - 0.90),0.41 (0.31 - 0.50),161638 (159885 - 163817),101358 (100320 - 102794),1856 (1166 - 2632),1.83 (1.16 - 2.58),0.47 (0.35 - 0.58),215602 (210024 - 217792),135615 (132117 - 136906),25670 (20734 - 28743),18.82 (15.60 - 20.97),0.89 (0.81 - 0.93),
